from,to,weight,edge_type
184728783,184661624,178.70151287,tertiary
184661624,184728799,30.3282916231,tertiary
184728799,184712990,85.9867451597,tertiary
184712990,184728835,258.784406498,tertiary
184728835,184728838,491.912652735,tertiary
184728838,184728849,1602.98278853,tertiary
184728849,184728852,1650.70581744,tertiary
184728852,184728855,235.325813062,tertiary
184728855,1891942150,399.981656955,tertiary
1891942150,184723980,13.4931927128,tertiary
184634045,184780233,125.625560137,residential
184780233,184780235,32.2008522039,residential
184780233,184712975,34.7597349889,residential
184712975,184780235,34.7492468704,residential
184634045,184648077,800.546552925,residential
184648077,184728835,455.338273851,residential
184712975,184648074,749.323682738,residential
184648074,184712990,334.665807593,residential
184756365,184728779,267.571046045,residential
184648074,184648077,159.799126912,residential
184648074,184728783,353.473127319,residential
184777624,184786701,35.7389514383,residential
184786701,184777598,91.8176438211,residential
184786909,184786701,31.4563532361,residential
184710753,184710258,381.978591623,residential
184710258,184777583,418.93029907,residential
184777583,184777598,159.703452706,residential
184777598,184777610,206.474616161,residential
184710696,184627843,745.057780243,tertiary
184627843,184710753,357.490344176,tertiary
184710753,184710848,692.66818139,tertiary
184710848,184710851,268.763815659,tertiary
184710851,184710854,322.667535539,tertiary
184786854,184786749,221.707232839,residential
184728757,184744336,153.000908413,residential
184744336,184786749,259.000545673,residential
184786749,184786854,221.707232839,residential
184786854,184726191,83.9849120729,residential
184726191,184777610,178.808011614,residential
184777610,184786909,132.890083184,residential
184786909,184777624,42.9236482327,residential
184726191,184726257,609.414651752,residential
184756365,184665311,179.77948813,residential
184665311,184728775,185.723412898,residential
184744336,184728735,109.438309322,residential
184690096,184782539,227.200925434,residential
184782539,184728706,259.776840559,residential
184728700,184782539,223.66665618,residential
184710851,184690096,135.383960601,residential
184710854,184728697,76.1160412463,tertiary
184640449,184640451,57.9261669928,service
184640451,184640449,57.9261669928,service
184640468,184640451,25.2813497508,service
184461242,184763638,84.5027657334,residential
184763638,184442832,118.560647034,residential
184442832,184696732,120.162848278,residential
184696732,184442680,132.602838728,residential
184442680,184433062,188.671233274,residential
184433062,184777272,124.818335186,residential
184777272,184687789,106.349998202,residential
184687789,184461276,412.823949962,residential
184461276,184764865,22.1278111799,residential
184764865,184439412,384.245933321,residential
184439412,184742484,441.550651685,residential
184450973,184439409,190.046712669,residential
184439387,184450973,190.514350548,residential
184450973,184459855,103.193324699,residential
184439387,184439409,125.963834502,residential
184439409,184439412,249.26297445,residential
184459855,184470304,59.9511790276,residential
184470304,184468127,83.6971844753,residential
184468127,184461276,180.913918708,residential
184464022,184432897,301.004812718,residential
184432897,184443993,154.44200343,residential
184443993,184461242,74.2395423575,residential
184777272,184781412,284.363457773,residential
184781412,184770204,82.5536180968,residential
184696737,184707049,58.3446952427,residential
184781412,184687791,148.170371699,residential
184687789,184687791,316.996644585,residential
184687791,184687795,198.324730069,residential
184687795,184687798,116.898823476,residential
184687798,184687845,205.865484555,residential
184731905,184770204,108.984336365,residential
184770204,184687795,234.750332473,residential
184433062,184731905,303.831678981,residential
184731905,184687845,438.863141233,residential
184687845,184731996,201.130148282,residential
184731996,184732000,134.870352524,residential
184442680,184442832,252.727096629,residential
184696732,184696737,118.820881161,residential
184696737,184696780,264.947100901,residential
184686933,184686947,90.9837854498,residential
184763638,184696780,135.824382901,residential
184696780,184686933,212.361843926,residential
184686933,184763759,352.960148954,residential
184742484,184742503,1810.25327345,residential
184742503,184742507,403.06853292,residential
184710854,184753841,1268.36008546,tertiary
184753841,184753858,1114.24299396,tertiary
184753858,184753906,148.919159155,tertiary
184753906,3424132710,442.969684376,tertiary
3424132710,184735157,437.380076381,tertiary
184764865,184742397,1615.16139626,residential
184742397,184742507,152.717418423,residential
184742507,184764931,711.88179633,residential
184686947,184763759,328.526604227,residential
184753858,184764931,109.834958843,residential
184764931,184753906,122.128213117,residential
184742397,184655814,392.842123832,residential
184655814,184649388,902.949328913,residential
184649388,184742466,1202.27949607,residential
184736177,457110798,1172.91533296,tertiary
457110798,184461082,1997.92934331,tertiary
184461082,184461242,1497.86614587,tertiary
184678194,184698337,1193.70456598,residential
184725506,184767700,162.158019615,residential
184688720,184737586,201.957016695,tertiary
184737586,184737589,138.973943836,tertiary
184737589,184737597,69.5867129974,tertiary
184737589,184732480,100.88386751,residential
184732480,184651595,46.497261871,residential
184737597,184651592,146.320717477,residential
184651592,184660147,98.6792573258,residential
184723980,184737597,143.845659598,tertiary
184767700,184737586,92.1432476285,residential
184737586,184732483,99.7189801508,residential
184732483,184735859,103.016173332,residential
184735859,184682837,97.7818084405,residential
184682837,184682841,201.040669392,residential
184651592,184651595,65.3606235899,residential
184651595,184735857,56.0015563064,residential
184735857,184660147,82.1464324311,residential
184703707,184750740,1509.23987355,residential
184750740,184728852,1613.61138179,residential
184728852,184639134,729.880635816,residential
184639134,184625188,607.670343605,residential
184625188,184753496,269.056892342,residential
184753496,184753504,1612.23202338,residential
184628810,184628859,468.239257571,residential
184758705,184716503,621.853597975,tertiary
184716503,184716491,81.7649663665,tertiary
184758703,184758705,92.0943022201,residential
184758705,184781751,127.073107842,tertiary
184781751,184758703,90.0162613204,residential
184746052,184753504,818.873549986,residential
184753504,184758703,417.5617063,residential
184631099,184631102,189.314273567,residential
184749315,184746047,818.545587575,residential
184746047,184749326,1227.04436212,residential
184749326,184631099,395.99062728,residential
184631099,184749359,1227.85505926,residential
184775469,184749326,1346.23243653,tertiary
184749326,184652143,604.380194236,tertiary
184652143,184781751,110.442875843,tertiary
184746044,184746047,1182.83786091,residential
184746047,184746052,782.689007517,residential
184629225,184629232,29.9851305778,residential
184779971,184754033,1580.35237783,tertiary
184754033,184632963,590.611271545,tertiary
184632963,184624064,579.410805114,tertiary
184624064,184784733,1131.91747925,tertiary
184784733,184787675,1295.84175693,tertiary
184787675,184745668,1698.69109024,tertiary
184745668,184702069,103.579251732,tertiary
184702069,184732495,102.02447252,tertiary
184732495,184740666,190.302856659,tertiary
184740666,184753708,61.1008441412,tertiary
184753708,184710309,100.799360621,tertiary
184710309,184683196,30.5162453951,tertiary
184683196,184787712,220.709885358,tertiary
184787712,184629225,206.970828007,tertiary
184629225,184749315,607.137197916,tertiary
184749315,184787739,2426.68257958,tertiary
184787739,184628810,418.435229962,tertiary
184628810,184728849,1192.13413998,tertiary
184728849,184750743,1612.71040469,tertiary
184750743,184772320,1103.52163676,tertiary
184772320,184431785,503.604980012,tertiary
184661624,184661652,130.9298749,residential
184728799,184661652,112.018246052,residential
184760187,184773220,1622.5296194,residential
184687771,184687775,1208.26554069,residential
184687775,184687781,1078.39501276,residential
184732190,184687775,2428.02526265,residential
184687775,184691196,807.541453314,residential
184691196,184732237,1212.24510937,residential
184732237,184732241,158.947138688,residential
184775603,184748240,809.820905933,residential
184748240,184775614,1630.97370416,residential
184775614,184657485,943.447448412,residential
184657485,184773220,1085.35526575,residential
184773220,184687781,389.038465635,residential
184687781,184775637,543.11921923,residential
184775637,184691193,284.254759808,residential
184691193,184665343,1164.24779313,residential
184665343,184658572,314.557324399,residential
184658572,184732241,226.001751101,residential
184732241,184640468,995.21698112,residential
184640468,184728697,70.4950104933,residential
184660885,184660889,211.210486787,residential
184634135,184634156,273.972803713,residential
184634156,184653694,346.452949203,residential
184732509,184746044,442.838747703,tertiary
184746044,184775469,1232.13577029,tertiary
184626411,184626441,679.90319143,service
184781678,184664332,491.192030721,residential
184664332,184781687,608.181778806,residential
184781687,184660852,291.670487994,residential
184660852,184626411,422.699169313,residential
184626411,184775469,1289.6859673,residential
184683196,184683208,83.897485991,residential
184713035,184713039,188.741087021,residential
184713039,184683208,189.56126826,residential
184740666,184713039,87.5800499326,residential
184713039,184740681,66.7179633883,residential
184702082,184702149,112.508263929,residential
184665374,184665392,62.7325515818,residential
184732501,184740681,180.414711335,residential
184732495,184713035,87.4405121669,tertiary
184713035,184732501,69.2906322842,tertiary
184732501,184688269,35.9560320911,tertiary
184688269,184665374,81.1937994312,tertiary
184665374,184665365,19.0538439488,tertiary
184665365,184665392,43.7413308031,tertiary
184665392,184702149,76.0991235095,tertiary
184702149,184732509,21.0557747894,tertiary
184665365,184665369,99.8811772644,residential
184702069,184626606,194.31283484,residential
184626606,184665369,96.177307552,residential
184665369,184702082,122.702506271,residential
184626606,184688269,99.8517376456,residential
184710309,184707175,185.577832363,residential
184707154,184707175,97.362381184,residential
184707175,184707178,85.885833445,residential
184707178,184659226,20.3545717796,residential
184659226,184707183,145.620600258,residential
184659215,184659226,80.6130373178,residential
184707178,184659215,77.3065691218,residential
184753708,184721818,93.5133657717,residential
184721818,184707154,82.9260672374,residential
